title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Fizz,21828,147.5,-3,6.27,45.73,51.07,8.15,Middle,55.14,21695,2.05,12567,9.77,6.71,4.2,9.4,Fizz,16,2167
Yasuo,23642,200.3,0,7.09,18.27,48.53,10.32,Middle,93.92,20743,5.24,13132,7.33,7.74,3.03,11.14,Yasuo,24,1327
Morgana,21605,178.1,4,10.39,2.57,53.09,6.58,Middle,81.77,22818,1.5,12457,5.87,5.01,3.05,2.67,Morgana,15,2285
LeBlanc,19149,156,0,6.48,13.26,47.45,6.71,Middle,48.13,22335,1.64,12271,8.58,5.55,4.16,13.13,Leblanc,21,2354
Urgot,20303,180.4,-2,7.83,0.13,46.32,5.96,ADC,37.39,21594,1.69,12432,6.79,6.2,3.21,0.18,Urgot,18,3482
Kog'Maw,20507,199.7,0,7.44,0.27,53.36,11.94,ADC,28.1,27024,2.86,13874,8.65,6.86,3.65,1.86,KogMaw,6,3624
Quinn,22519,185.3,0,8.46,0.31,52.03,7.92,ADC,91.14,23971,2.88,13474,8.49,7.12,3.69,0.47,Quinn,11,3373
Corki,21772,194.6,1,8.19,0.28,44.54,9.42,ADC,31.63,24182,2.56,13027,6.99,6.13,3.26,1.96,Corki,16,3556
Kalista,21868,189.2,1,7.12,0.14,45.85,9.92,ADC,63.36,19978,3.59,12788,7.22,6.78,3.25,3.24,Kalista,17,3910
Varus,19419,198.5,-1,8.57,0.05,49.54,8.5,ADC,36.03,24974,2.69,13413,7.57,6.56,3.36,1.62,Varus,14,3157
Tristana,20757,201.8,0,6.84,0.04,48.38,9.7,ADC,39.61,21912,3,13463,7.78,5.89,3.59,5.22,Tristana,15,3185
Draven,22006,191.3,-3,6.96,0.26,49.81,9.07,ADC,109.08,23974,3.18,14225,7.91,6.79,3.44,5.69,Draven,13,2671
Ashe,18661,196.9,2,8.99,0.17,54.36,9.6,ADC,44.59,22886,2.89,13196,6.87,6.28,3.15,5.97,Ashe,10,2979
Miss Fortune,20876,199.5,8,8.56,0.33,54.49,7.22,ADC,41.86,26227,2.22,13494,7.98,6.24,3.69,7.16,MissFortune,1,3320
Sivir,18844,227.7,-1,9.09,0.11,53.05,9.49,ADC,35.96,22974,2.7,13544,6.09,5.5,2.95,9.18,Sivir,9,3438
Twitch,20430,187.7,-1,7.06,0.54,53.27,10.23,ADC,27.5,24299,3.02,13497,9.13,6.53,4,6.92,Twitch,5,3237
Jinx,19324,204.8,-2,7.97,0.13,53.25,10.73,ADC,90.84,23407,3.23,13570,7.77,6.3,3.65,11.84,Jinx,7,2936
Jhin,18171,190.9,0,9.17,0.99,51.89,7.02,ADC,36.2,25039,2.02,13152,7.75,5.83,3.7,12.35,Jhin,2,2990
Vayne,22348,189.9,2,6.25,4.55,48.92,9.04,ADC,107.74,21882,2.72,13133,7.92,6.71,3.45,22.19,Vayne,12,3594
Ezreal,18934,196,-1,8.57,1.28,49.88,8.06,ADC,56.11,26227,2.48,13027,7.12,5.29,3.51,31.79,Ezreal,4,3274
Caitlyn,19428,208.3,-1,7.81,1.66,50.42,9.83,ADC,41.81,24222,2.75,13249,6.44,6.21,3.01,25.87,Caitlyn,8,2872
Lucian,21786,205.8,-2,7.19,17.68,49.67,9.11,ADC,61.92,22688,2.56,13431,7.89,5.82,3.73,33.88,Lucian,3,3636
Nunu,27274,42.7,0,12.73,0.11,39.2,5.28,Support,20.3,8776,1.57,9767,1.87,6.68,0.65,0.13,Nunu,26,5168
Tahm Kench,29075,50.7,-1,11.42,1.63,44.76,0.69,Support,34.19,9121,0.54,9641,1.98,5.71,0.77,1.6,TahmKench,23,6503
Blitzcrank,24792,44.1,0,13.23,3.93,53.55,0.32,Support,68.42,10124,0.38,9787,2.4,5.84,0.96,17.05,Blitzcrank,1,3212
Alistar,28243,44.9,-2,14.09,11.74,48.73,0.27,Support,49.3,6919,0.2,9352,1.48,5.36,0.51,13.61,Alistar,10,8304
Lulu,20606,179.6,-1,9.25,0.15,46.77,3.01,Top,59.75,16569,1.21,11496,3.84,5.12,1.88,0.7,Lulu,60,2932
Gangplank,26284,218.2,-1,8.36,1.36,51.03,5.89,Top,55.44,24915,2.38,14284,6.17,5.87,2.92,4.87,Gangplank,2,6800
Nautilus,26760,175.3,-6,10.05,0.68,48.67,2.42,Top,44.55,17737,1.07,11561,3.97,5.46,1.98,2.06,Nautilus,50,3009
Swain,34596,190.1,-1,8.05,49.64,53.16,4.43,Top,26.25,25171,1.89,12193,5.09,5.76,2.52,4.33,Swain,3,14350
Zac,36886,172.4,10,9.55,1.15,52.26,4.9,Top,121.36,20727,2.38,11965,5.22,4.68,2.84,1.21,Zac,13,26296
Volibear,37187,166.4,-1,7.61,2.87,47.88,3.67,Top,90.28,19355,2.41,12185,6.36,5.91,3.12,1.88,Volibear,38,3254
Hecarim,32024,175.8,26,7.05,0.87,52.35,4.7,Top,100.41,19928,2.44,12276,7.19,5.86,3.53,1.52,Hecarim,20,6443
Malphite,23980,170.6,-1,9.39,9.61,50.21,2.93,Top,35.99,18659,1.18,11822,4.79,4.98,2.47,6.18,Malphite,26,2814
Vladimir,31463,200.4,3,7,10.85,48.94,4.07,Top,57.97,23713,1.96,12270,5.26,6.08,2.47,5.87,Vladimir,9,23367
Maokai,33628,178.2,-11,9.65,9.46,49,3.09,Top,24.61,18842,1.27,11626,4.2,5.57,2.06,8.51,Maokai,18,9552
Darius,35968,186.2,11,6.21,14.2,52.7,3.02,Top,63.86,21171,1.89,12609,7.4,6.51,3.43,8.64,Darius,4,6055
Rengar,27722,178.2,0,5.87,5.14,49.05,10.69,Top,156.88,20623,5.41,13001,7.88,6.83,3.44,2.42,Rengar,36,4916
Ekko,31909,179.7,-9,7.92,44.78,49.34,3.27,Top,24.43,19363,1.61,12023,5.37,5.56,2.69,7.06,Ekko,12,6226
Riven,24918,197.2,6,5.54,0.92,49.83,7.31,Top,156.79,18989,4.61,12980,7.13,6.51,3.24,8.48,Riven,22,2543
Graves,26403,211.9,-8,6.26,5.24,47.88,8.14,Top,39.68,23549,3.71,13112,6.21,6.78,2.81,2.06,Graves,30,4775
Trundle,38809,189.2,0,8.07,3.51,49.94,3.77,Top,29.21,17624,2.31,12121,4.8,5.29,2.4,6.68,Trundle,10,12887
Yasuo,24854,215.2,-2,6.34,18.27,50.3,7.07,Top,85.52,20830,4.71,13198,6.4,7.36,2.75,9.85,Yasuo,6,1653
Irelia,31946,195,4,6.19,12.51,54.01,3.06,Top,87.07,21255,2.11,12886,7.83,6.15,3.72,12.67,Irelia,1,9037
Jax,28405,186.6,12,5,7.41,48.85,6.36,Top,74.81,19197,3.62,12715,6.55,6.84,2.87,6.49,Jax,39,3844
Fizz,26724,169.2,1,6.85,45.73,51.6,3.58,Top,45.79,20273,1.79,12227,7.44,5.75,3.56,6.56,Fizz,7,2926
Nunu,39536,41.8,0,10.94,0.11,48.73,59.79,Jungle,52.81,12180,13.64,11385,3.76,4.88,1.95,0.64,Nunu,40,14282
Aatrox,36181,54,0,7.94,0.19,46.72,67.01,Jungle,80.34,16909,11.35,12416,6.19,5.79,3.03,0.26,Aatrox,43,21992
Aurelion Sol,26483,121.3,-8,9.6,0.7,48.91,33.89,Jungle,51.11,22412,4.78,12320,7.37,6.05,3.54,0.22,AurelionSol,38,5878
Skarner,30155,40.9,2,10.92,0.1,53.5,67.34,Jungle,45.06,13076,11.34,11956,4.8,4.78,2.51,1.93,Skarner,29,7366
Warwick,39482,37.2,5,9.63,0.11,51.56,65.17,Jungle,57.37,15713,8.74,12208,6.53,5.69,3.1,2.14,Warwick,27,19453
Quinn,25400,62.7,-5,8.28,0.31,48.06,57.15,Jungle,59.24,20795,8.98,12627,8.22,7.04,3.57,0.4,Quinn,41,5747
Dr. Mundo,42894,53.4,4,9.56,0.38,51.89,62.57,Jungle,60.25,19182,10.5,11967,5.32,5.47,2.71,0.39,DrMundo,17,14650
Xin Zhao,34572,45.3,0,7.65,0.33,48.19,62.05,Jungle,59.62,17959,10.02,12295,6.86,7.08,2.9,2.34,XinZhao,39,13218
Tryndamere,38874,76.5,5,6.5,0.23,50.62,69.86,Jungle,103.5,16824,13.6,13263,6.6,6.06,2.94,0.47,Tryndamere,36,13687
Rumble,26941,64.7,0,9.94,0.11,50.64,70.73,Jungle,98.87,21624,10.74,12686,6.69,5.49,3.34,0.84,Rumble,22,6050
Sion,38284,74.9,-1,11.73,0.08,53.93,50.38,Jungle,105.8,18506,6.5,12021,5.36,5.72,2.39,0.38,Sion,35,19775
